frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
0,0.0,2,"neutral, sad",em_pe,1,elemento_grafico
2,0.06666666666666667,2,"happy, sad",em_pe,2,"careta_exagerada, elemento_grafico"
4,0.13333333333333333,3,"neutral, sad, sad",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
6,0.2,4,"neutral, sad, neutral, fear",em_pe,2,"careta_exagerada, elemento_grafico"
8,0.26666666666666666,4,"neutral, neutral, angry, sad",em_pe,1,elemento_grafico
10,0.3333333333333333,3,"neutral, neutral, neutral",em_pe,2,"careta_exagerada, elemento_grafico"
12,0.4,3,"sad, sad, neutral",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
14,0.4666666666666667,3,"neutral, sad, neutral",em_pe,2,"careta_exagerada, elemento_grafico"
16,0.5333333333333333,4,"neutral, angry, neutral, sad",em_pe,1,elemento_grafico
18,0.6,4,"neutral, sad, neutral, sad",em_pe,1,elemento_grafico
20,0.6666666666666666,4,"neutral, neutral, sad, sad",em_pe,1,elemento_grafico
22,0.7333333333333333,4,"neutral, neutral, neutral, sad",em_pe,1,elemento_grafico
24,0.8,3,"neutral, neutral, fear","em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
26,0.8666666666666667,3,"neutral, neutral, angry",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
28,0.9333333333333333,3,"neutral, sad, angry",em_pe,1,elemento_grafico
30,1.0,4,"neutral, neutral, angry, fear","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
32,1.0666666666666667,4,"neutral, neutral, angry, sad","em_pe, gesticulando, usando_celular",4,"careta_exagerada, careta_exagerada, careta_exagerada, elemento_grafico"
34,1.1333333333333333,4,"neutral, sad, sad, angry","em_pe, usando_celular",1,elemento_grafico
36,1.2,4,"neutral, sad, sad, surprise","em_pe, usando_celular",1,elemento_grafico
38,1.2666666666666666,4,"neutral, neutral, surprise, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
40,1.3333333333333333,4,"neutral, sad, sad, surprise","em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
42,1.4,3,"neutral, sad, surprise","em_pe, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
44,1.4666666666666666,4,"neutral, sad, surprise, sad",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
46,1.5333333333333334,3,"sad, sad, surprise","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
48,1.6,2,"sad, neutral","em_pe, usando_celular",1,elemento_grafico
50,1.6666666666666667,3,"neutral, sad, surprise","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
52,1.7333333333333334,3,"neutral, sad, angry","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
54,1.8,3,"sad, neutral, angry","caminhando, usando_celular",1,elemento_grafico
56,1.8666666666666667,3,"neutral, neutral, angry","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
58,1.9333333333333333,3,"neutral, sad, angry","caminhando, usando_celular",1,elemento_grafico
60,2.0,3,"neutral, neutral, happy","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
62,2.066666666666667,4,"neutral, neutral, angry, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
64,2.1333333333333333,4,"neutral, neutral, sad, angry",em_pe,2,"careta_exagerada, elemento_grafico"
66,2.2,3,"neutral, neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
68,2.2666666666666666,3,"neutral, sad, happy","em_pe, usando_celular",1,elemento_grafico
70,2.3333333333333335,2,"sad, neutral","em_pe, usando_celular",1,elemento_grafico
72,2.4,2,"neutral, sad","em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
74,2.466666666666667,2,"neutral, sad",em_pe,2,"careta_exagerada, elemento_grafico"
76,2.533333333333333,2,"neutral, sad","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
78,2.6,2,"neutral, sad","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
80,2.6666666666666665,3,"neutral, sad, happy","em_pe, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
82,2.7333333333333334,2,"neutral, sad","em_pe, usando_celular",1,elemento_grafico
84,2.8,3,"neutral, sad, sad",em_pe,2,"careta_exagerada, elemento_grafico"
86,2.8666666666666667,2,"neutral, sad",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
88,2.933333333333333,3,"neutral, happy, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
90,3.0,3,"neutral, neutral, sad","em_pe, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
92,3.066666666666667,2,"neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
94,3.1333333333333333,4,"neutral, sad, sad, happy","em_pe, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
96,3.2,3,"neutral, sad, happy","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
98,3.2666666666666666,4,"sad, sad, neutral, sad","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
100,3.3333333333333335,3,"sad, neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
102,3.4,3,"neutral, neutral, sad","em_pe, gesticulando, usando_celular",1,elemento_grafico
104,3.466666666666667,3,"angry, neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
106,3.533333333333333,4,"angry, neutral, sad, sad",caminhando,1,elemento_grafico
108,3.6,4,"sad, neutral, angry, happy","caminhando, usando_celular",2,"careta_exagerada, elemento_grafico"
110,3.6666666666666665,3,"neutral, angry, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
112,3.7333333333333334,3,"sad, angry, neutral","sentado, usando_celular",2,"careta_exagerada, elemento_grafico"
114,3.8,2,"neutral, fear",usando_celular,1,elemento_grafico
116,3.8666666666666667,3,"sad, neutral, neutral","em_pe, usando_celular",1,elemento_grafico
118,3.933333333333333,2,"fear, sad","caminhando, usando_celular",1,elemento_grafico
120,4.0,1,fear,"caminhando, usando_celular",1,elemento_grafico
122,4.066666666666666,2,"sad, sad","em_pe, usando_celular",1,elemento_grafico
124,4.133333333333334,2,"neutral, sad","caminhando, usando_celular",1,elemento_grafico
126,4.2,2,"neutral, fear","caminhando, usando_celular",1,elemento_grafico
128,4.266666666666667,1,neutral,"em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
130,4.333333333333333,1,neutral,"caminhando, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
132,4.4,0,,"caminhando, gesticulando, usando_celular",1,elemento_grafico
134,4.466666666666667,0,,"em_pe, usando_celular",1,elemento_grafico
136,4.533333333333333,0,,"em_pe, usando_celular",1,elemento_grafico
138,4.6,0,,usando_celular,1,elemento_grafico
140,4.666666666666667,0,,"sentado, usando_celular",1,elemento_grafico
142,4.733333333333333,1,sad,usando_celular,1,elemento_grafico
144,4.8,0,,usando_celular,1,elemento_grafico
146,4.866666666666666,0,,"gesticulando, usando_celular",1,elemento_grafico
148,4.933333333333334,0,,usando_celular,1,elemento_grafico
150,5.0,0,,usando_celular,1,elemento_grafico
152,5.066666666666666,0,,usando_celular,1,elemento_grafico
154,5.133333333333334,0,,"gesticulando, usando_celular",1,elemento_grafico
156,5.2,1,neutral,usando_celular,1,elemento_grafico
158,5.266666666666667,1,neutral,usando_celular,1,elemento_grafico
160,5.333333333333333,1,sad,usando_celular,1,elemento_grafico
